name,strasse,link,lat,long
Romuald Baur,Brunnenstr. 46C,,48.705266,9.254700
Rosa Rimpel,Sophienstr. 5,http://www.stolpersteine-stuttgart.de/index.php?docid=659&mid=66,48.719651,9.234350
Karl Schedel,Talstr. 107,http://www.stolpersteine-stuttgart.de/index.php?docid=828&mid=66,48.8005629,9.1533623
Martha Levi,Lange Str. 12B,http://www.stolpersteine-stuttgart.de/index.php?docid=696&mid=66,48.789250,9.338931
Fanny Löwenthal,Hegelstr. 62,http://www.stolpersteine-stuttgart.de/index.php?docid=865&mid=66,48.0891703,8.7114809
Isaak Kaufmann,Haller Str. 28,http://www.stolpersteine-cannstatt.de/node/154,48.888765,9.224124
Walter Frohnmüller,Wernerstr. 31,,48.895316,9.177593
Anna Blum,Charlottenstr. 33,http://www.stolpersteine-stuttgart.de/index.php?docid=817&mid=66,48.829032,9.116946
Gertrud Wellner,Drostestr. 6,,48.8235908,9.1154381
Sigmund Mayer,Blumenstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=881&mid=66,48.802820,9.082533
Else Mayer,Blumenstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=881&mid=66,48.802820,9.082533
Annie Ullmann,Schellberstr. 62,,48.8026134,9.0672054
Karl Krauss,Friedhofstr. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=777&mid=66,48.669664,9.173408
Abraham Schweizer Dr.,Gymnasiumstr. 23,http://www.stolpersteine-stuttgart.de/index.php?docid=694&mid=66,48.671075,9.217053
Louis Kahn,Gymnasiumstr. 18B,http://www.stolpersteine-stuttgart.de/index.php?docid=529&mid=66,48.671701,9.217198
Max Gailinger,Schloßstr. 54,,48.681176,9.272000
Leya Zymbalist,Eugenstr. (6),http://www.stolpersteine-stuttgart.de/index.php?docid=872&mid=66,48.694349,9.120773
Nicolas Zymbalist,Eugenstr. (6),http://www.stolpersteine-stuttgart.de/index.php?docid=872&mid=66,48.694349,9.120773
Maria Bofinger,Helmstettstr. 9,,48.805020,9.158527
Leya Zymbalist,Eugenstr. (6),http://www.stolpersteine-stuttgart.de/index.php?docid=872&mid=66,48.778941,9.186645
Nicolas  Zymbalist,Eugenstr.  (6),http://www.stolpersteine-stuttgart.de/index.php?docid=872&mid=66,48.778941,9.186645
