name,strasse,link,lat,long
Lilly Abele,Karl-Kloß-Str. 42,http://www.stolpersteine-stuttgart.de/index.php?docid=585&mid=66,48.75774999999999,9.15907
Margarete Adelsheimer,Hospitalstr. 36,http://www.stolpersteine-stuttgart.de/index.php?docid=530&mid=66,48.77635069999999,9.171204999999999
Clara Adler,Ostendstr. 83,http://www.stolpersteine-stuttgart.de/index.php?docid=550&mid=66,48.7841296,9.2084302
Rudolf Adler,Ostendstr. 83,http://www.stolpersteine-stuttgart.de/index.php?docid=550&mid=66,48.7841296,9.2084302
Friedrich Alexander,Sattlerstr. 25,http://www.stolpersteine-stuttgart.de/index.php?docid=750&mid=66,48.78472,9.1700692
Helene Alexander,Sattlerstr. 25,http://www.stolpersteine-stuttgart.de/index.php?docid=750&mid=66,48.78472,9.1700692
Alice Allmeyer,Eberhardstr. 49,http://www.stolpersteine-stuttgart.de/index.php?docid=445&mid=66,48.77304,9.177389999999999
Leo Allmeyer,Eberhardstr. 49,http://www.stolpersteine-stuttgart.de/index.php?docid=445&mid=66,48.77304,9.177389999999999
Mali (Amalie) Alter,Augustenstr. 65,http://www.stolpersteine-stuttgart.de/index.php?docid=484&mid=66,48.76983000000001,9.16132
Sandor (Alexander) Alter,Augustenstr. 65,http://www.stolpersteine-stuttgart.de/index.php?docid=484&mid=66,48.76983000000001,9.16132
Catharine Anshelm,Grazer Str. 8,,48.80811,9.16151
Willi Karl App,Leonhardsplatz 15,http://www.stolpersteine-stuttgart.de/index.php?docid=583&mid=66,48.77285999999999,9.18057
Emma Arm,Tübinger Str. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=443&mid=66,48.772131,9.174175499999999
Heinrich Cheim Arm,Tübinger Str. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=443&mid=66,48.772131,9.174175499999999
Eugen Armbruster,Hackstraße 80,,48.7889023,9.2057031
Gustav Arnstein,Bismarkstr. 79,http://www.stolpersteine-stuttgart.de/index.php?docid=672&mid=66,48.7713,9.15186
Arthur Ascher,Weißenburgstr. 2 B,http://www.stolpersteine-stuttgart.de/index.php?docid=492&mid=66,48.7690544,9.1746511
